	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
648	전역	5	0	5	0.00%	100.00%
649	접근성	5	0	5	0.00%	100.00%
650	정서	5	0	5	0.00%	100.00%
651	제공	5	0	5	0.00%	100.00%
652	경험담	5	0	5	0.00%	100.00%
653	제안	5	0	5	0.00%	100.00%
654	중학	5	0	5	0.00%	100.00%
655	조사	5	0	5	0.00%	100.00%
656	지리	5	0	5	0.00%	100.00%
657	지역민	5	0	5	0.00%	100.00%
658	카카오	5	0	5	0.00%	100.00%
659	카메라	5	0	5	0.00%	100.00%
660	취향	5	0	5	0.00%	100.00%
661	출발지	5	0	5	0.00%	100.00%
662	추도	5	0	5	0.00%	100.00%
663	최초	5	0	5	0.00%	100.00%
664	경기도	5	0	5	0.00%	100.00%
665	경치	5	0	5	0.00%	100.00%
666	지인	5	0	5	0.00%	100.00%
667	직전	5	0	5	0.00%	100.00%
668	참조	5	0	5	0.00%	100.00%
669	천군동	5	0	5	0.00%	100.00%
670	체크인	5	0	5	0.00%	100.00%
671	최대한	5	0	5	0.00%	100.00%
672	최근	5	0	5	0.00%	100.00%
673	초반	5	0	5	0.00%	100.00%
674	개인	4	0	4	0.00%	100.00%
675	아중	0	4	4	100.00%	0.00%
676	떡갈비	0	4	4	100.00%	0.00%
677	레일바이크	0	4	4	100.00%	0.00%
678	수지	0	4	4	100.00%	0.00%
679	테이	4	0	4	0.00%	100.00%
680	어버이날	4	0	4	0.00%	100.00%
681	청공	4	0	4	0.00%	100.00%
682	집행	4	0	4	0.00%	100.00%
683	이튿날	4	0	4	0.00%	100.00%
684	옥스	4	0	4	0.00%	100.00%
685	예매	4	0	4	0.00%	100.00%
686	애니	0	3	3	100.00%	0.00%
687	오타쿠	0	3	3	100.00%	0.00%
688	일본	0	3	3	100.00%	0.00%
689	모주	0	3	3	100.00%	0.00%
690	경우	3	0	3	0.00%	100.00%
691	정상	3	0	3	0.00%	100.00%
692	권역	3	0	3	0.00%	100.00%
693	방해	3	0	3	0.00%	100.00%
694	휴무일	3	0	3	0.00%	100.00%
695	통제	3	0	3	0.00%	100.00%
696	나이	2	0	2	0.00%	100.00%
697	찜질방	0	2	2	100.00%	0.00%
698	동네	0	2	2	100.00%	0.00%
699	코레	2	0	2	0.00%	100.00%
700	청소년	2	0	2	0.00%	100.00%
701	제한	2	0	2	0.00%	100.00%
702	여권	2	0	2	0.00%	100.00%
703	야시장	0	1	1	100.00%	0.00%
704	스테이	1	0	1	0.00%	100.00%
705	해변	1	0	1	0.00%	100.00%
706	감포	1	0	1	0.00%	100.00%
707	동시	1	0	1	0.00%	100.00%
708	봉길	1	0	1	0.00%	100.00%
709	소록	1	0	1	0.00%	100.00%
710	토대	0	1	1	100.00%	0.00%
